datetime,latitude,longitude,altitude
2023-07-24T02:10:00Z,33.84052,-105.03268,27006.0
2023-07-24T02:11:00Z,33.83979,-105.04097,27306.0
2023-07-24T02:12:00Z,33.83915,-105.04954,27606.0
2023-07-24T02:13:00Z,33.83858,-105.05841,27906.0
2023-07-24T02:14:00Z,33.83811,-105.06757,28206.0
2023-07-24T02:15:00Z,33.83772,-105.07701,28506.0
2023-07-24T02:16:00Z,33.83741,-105.08675,28806.0
2023-07-24T02:17:00Z,33.83720,-105.09678,29106.0
2023-07-24T02:18:00Z,33.83708,-105.10710,29406.0
2023-07-24T02:19:00Z,33.83705,-105.11771,29706.0
2023-07-24T02:19:58.59375Z,33.83712,-105.12836,29999.0
2023-07-24T02:19:58.59375Z,33.83712,-105.12836,29999.0
2023-07-24T02:20:58.59375Z,33.83685,-105.13825,27716.6
2023-07-24T02:21:58.59375Z,33.83606,-105.14649,25796.0
2023-07-24T02:22:58.59375Z,33.83578,-105.15550,24152.1
2023-07-24T02:23:58.59375Z,33.83566,-105.16406,22699.2
2023-07-24T02:24:58.59375Z,33.83530,-105.17102,21395.2
2023-07-24T02:25:58.59375Z,33.83446,-105.17656,20212.4
2023-07-24T02:26:58.59375Z,33.83216,-105.18093,19130.2
2023-07-24T02:27:58.59375Z,33.82943,-105.18427,18132.7
2023-07-24T02:28:58.59375Z,33.82864,-105.18661,17207.7
2023-07-24T02:29:58.59375Z,33.82937,-105.18806,16345.4
2023-07-24T02:30:58.59375Z,33.82699,-105.18951,15537.7
2023-07-24T02:31:58.59375Z,33.82238,-105.18958,14778.2
2023-07-24T02:32:58.59375Z,33.81810,-105.18610,14061.4
2023-07-24T02:33:58.59375Z,33.81496,-105.18351,13382.9
2023-07-24T02:34:58.59375Z,33.81070,-105.18382,12738.6
2023-07-24T02:35:58.59375Z,33.80331,-105.18718,12125.4
2023-07-24T02:36:58.59375Z,33.79577,-105.19063,11540.4
2023-07-24T02:37:58.59375Z,33.78925,-105.19454,10981.0
2023-07-24T02:38:58.59375Z,33.78422,-105.19887,10442.6
2023-07-24T02:39:58.59375Z,33.78048,-105.20356,9921.8
2023-07-24T02:40:58.59375Z,33.77739,-105.20884,9417.2
2023-07-24T02:41:58.59375Z,33.77452,-105.21481,8927.6
2023-07-24T02:42:58.59375Z,33.77201,-105.22061,8452.0
2023-07-24T02:43:58.59375Z,33.76965,-105.22559,7989.5
2023-07-24T02:44:58.59375Z,33.76737,-105.23061,7539.1
2023-07-24T02:45:58.59375Z,33.76547,-105.23621,7100.1
2023-07-24T02:46:58.59375Z,33.76399,-105.24214,6671.9
2023-07-24T02:47:58.59375Z,33.76258,-105.24831,6253.8
2023-07-24T02:48:58.59375Z,33.76079,-105.25469,5845.2
2023-07-24T02:49:58.59375Z,33.75806,-105.26106,5445.6
2023-07-24T02:50:58.59375Z,33.75397,-105.26696,5054.5
2023-07-24T02:51:58.59375Z,33.74934,-105.27065,4671.6
2023-07-24T02:52:58.59375Z,33.74646,-105.27198,4296.3
2023-07-24T02:53:58.59375Z,33.74547,-105.27271,3928.4
2023-07-24T02:54:58.59375Z,33.74568,-105.27391,3567.4
2023-07-24T02:55:58.59375Z,33.74678,-105.27572,3213.2
2023-07-24T02:56:58.59375Z,33.74852,-105.27819,2865.3
2023-07-24T02:57:58.59375Z,33.75084,-105.28117,2523.4
2023-07-24T02:58:58.59375Z,33.75366,-105.28424,2187.5
2023-07-24T02:59:58.59375Z,33.75639,-105.28659,1857.1
2023-07-24T03:00:18.75Z,33.75712,-105.28711,1747.9
